"3.74","3.68","Thammasat University, Thailand"
"3.11","3.44","Assumption University, Thailand"
"3.0","2.75","Yangon Institute of Technology, Myanmar"
"3.72","3.89","University of Oklahoma, Norman, USA"
"2.39","3.06","King Mongkut's Institute of Tech., Ladkrabang,Thailand"
"3.85","3.79","Chulalongkorn University, Thailand"
"3.07","3.31","Osaka Institute of Technology, Japan"
"3.0","3.48","Hanoi Water Resources Engineering Institute"
"4.0","3.46","Kerala Agricultural University, India"
"2.93","2.88","Srinakharinwirot University, Bangkok, Thailand"
"3.29","2.83","Royal Thai Air Force Academy, Thailand"
"3.51","3.88","Kasetsart University, Thailand"
"2.54","3.56","Mahidol University, Thailand"
"3.1","3.75","King Mongkut's Institute of Tech., Ladkrabang,Thailand"
"3.0","3.49","Yangon Technological University, Myanmar"
"3.61","3.63","Mahidol University, Nakornpathom, Thailand"
"2.28","3.09","The Lao American College"
"4.0","3.42","Kerala Agricultural University, India"
"3.61","3.83","Chiang Mai University, Thailand"
"3.0","3.82","University of the Philippines Visayas, Iloilo"
"2.75","3.65","University of Delhi, India"
"3.5","3.15","Gujarat University"
"4.0","3.5","Assam Engineering College, Guwahati, India"
"3.5","3.19","University of Jaffna, Sri Lanka"
"3.39","3.95","Diponegoro University, Semarang, Indonesia"
"3.07","3.55","Chulalongkorn University, Thailand"
"3.04","3.46","Thammasat University, Thailand"
"2.97","3.25","King Mongkut's Institute of Tech., Ladkrabang,Thailand"
"3.09","3.89","Bangladesh University of Engineering & Technology, Dhaka, Bangladesh"
"3.19","4.0","Kasetsart University, Thailand"
"3.4","3.94","Chiang Mai University, Thailand"
"4.0","3.81","Banaras Hindu University, Varanasi, India"
"2.89","2.83","Rajamangala Institute of Technology, Thailand"
"3.19","3.38","Chiang Mai University, Thailand"
"2.9","3.75","University of Peradeniya, Sri Lanka"
"2.86","3.68","King Mongkut's University of Technology, Thonburi, Thailand"
"3.67","3.34","Chulalongkorn University, Thailand"
"3.2","3.59","Chulalongkorn University, Thailand"
"3.61","3.56","University Technology Malaysia"
"3.0","3.35","Cantho University, Vietnam"
"4.0","3.71","University of Dhaka, Bangladesh"
"3.5","3.88","Tribhuvan University, Nepal"
"3.5","4.0","Tribhuvan University, Nepal"
"3.5","2.95","National University of Laos"
"3.0","3.25","National University of Laos"
"3.0","3.27","Fisheries University, Vietnam"
"3.0","3.5","Tribhuvan University, Nepal"
"2.87","3.94","Chulalongkorn University, Thailand"
"3.11","3.56","Bangkok University, Thailand"
"3.0","3.58","Hue University of Agricultural and Forestry, Vietnam"
"3.44","3.69","Srinakharinwirot University, Bangkok, Thailand"
"3.06","3.94","Srinakharinwirot University, Bangkok, Thailand"
"2.84","3.69","Bangladesh University of Engineering & Technology, Dhaka, Bangladesh"
"3.0","3.06","University of Jaffna, Sri Lanka"
"3.19","3.63","Chulalongkorn University, Thailand"
"3.0","3.84","University of Southern Mindanao, North Cotabato, Philippines"
"3.44","3.84","Chulalongkorn University, Thailand"
"4.0","3.68","University of Calcutta, India"
"4.0","3.28","Hanoi University of Science, Vietnam"
"3.5","3.33","Saint Louis University, Baguio City, Philippines"
"3.75","4.0","Petra Christian University, Indonesia"
"3.82","3.5","University of Pune, India"
"3.0","3.32","Yangon Institute of Technology, Myanmar"
"4.0","3.35","University of Pune, India"
"3.25","3.44","Northern Jiaotong University, P.R.C."
"2.36","3.75","Kasetsart University, Thailand"
"2.15","3.67","Chulalongkorn University, Thailand"
"2.98","2.92","Mahanakorn University of Technology, Thailand"
"3.75","3.83","Kasetsart University, Thailand"
"3.5","3.22","University of Pune, India"
"3.0","3.17","University of San Carlos, Cebu City, Philippines"
"2.9","3.59","Chiang Mai University, Thailand"
"2.67","3.62","Chulalongkorn University, Thailand"
"3.68","3.86","Chulalongkorn University, Thailand"
"4.0","3.76","University of Rajshahi, Bangladesh"
"3.74","3.78","Kasetsart University, Thailand"
"3.5","3.44","Tribhuvan University, Nepal"
"3.03","3.81","Chulalongkorn University, Thailand"
"3.5","3.96","Tribhuvan University, Nepal"
"3.5","3.8","Tribhuvan University, Nepal"
"3.5","3.12","Mandalay Technological University, Myanmar"
"4.0","3.56","N.E.D. University of Eng. & Technology, Karachi"
"3.04","3.44","Bangladesh Institute of Technology, Rajshahi"
"2.99","3.56","American International University, Bangladesh"
"3.5","3.82","Fisheries University, Vietnam"
"3.6","3.56","King Mongkut's University of Technology, Thonburi, Thailand"
"2.88","3.34","Thammasat University, Thailand"
"2.76","3.52","Kasetsart University, Thailand"
"2.57","3.66","University of Jaffna, Sri Lanka"
"4.0","2.94","Gulbarga University, India"
"3.14","3.5","Royal University of Phnom Penh, Cambodia"
"3.06","3.61","American International University, Bangladesh"
"2.39","3.38","Bangladesh University of Engineering & Technology, Dhaka, Bangladesh"
"2.76","3.06","Kasetsart University, Thailand"
"3.61","3.38","Rangsit University, Thailand"
"3.5","3.73","Aligarh Muslim University, India"
"3.26","2.97","Kyrgyz State Uni. of Construction,Transport & Architecture"
"3.5","3.46","University of Yangon, Myanmar"
"4.0","3.88","University of Chittagong, Bangladesh"
"3.57","3.63","King Mongkut's University of Technology, Thonburi, Thailand"
"3.1","3.72","Gadjah Mada University, Yogyakarta, Indonesia"
"4.0","4.0","Tribhuvan University, Nepal"
"3.07","3.76","Khulna University, Bangladesh"
"4.0","3.63","University of Chittagong, Bangladesh"
"2.52","3.19","King Mongkut's Institute of Tech., Ladkrabang,Thailand"
"2.67","3.38","Kyungpook National University, Korea"
"2.75","3.44","Technological University of the Philippines"
"2.52","3.44","King Mongkut's Inst. of Technology, North Bangkok, Thailand"
"3.06","3.19","Khulna University, Bangladesh"
"3.71","3.59","Mehran University of Engineering and Technology, Pakistan"
"3.2","3.44","Bangalore University, India"
"3.44","3.69","Petra Christian University, Indonesia"
"4.0","3.69","N.E.D. University of Eng. & Technology, Karachi"
"3.5","3.5","Tribhuvan University, Nepal"
"3.4","3.5","Ho Chi Minh City University of Technology, Vietnam"
"3.5","3.23","Hanoi University of Trade Union, Vietnam"
"2.0","3.09","Yezin Agricultural University, Myanmar"
"3.7","3.35","National Inst. of Development Administration, Thailand"
"4.0","3.72","Indian Institute of Technology, Kharagpur, India"
"2.75","3.17","Eastern University, Sri Lanka"
"3.21","3.22","Institute Pertanian Bogor"
"3.06","3.18","People's University of China, Beijing"
"3.39","3.19","King Mongkut's Institute of Tech., Ladkrabang,Thailand"
"2.68","3.28","Chulalongkorn University, Thailand"
"4.0","3.55","Utkal University, India"
"4.0","3.88","Tribhuvan University, Nepal"
"2.65","3.82","University of Peradeniya, Sri Lanka"
"3.5","3.77","Tehran University, Iran"
"2.76","3.12","Mahidol University, Thailand"
"3.0","3.21","University of Mining and Geology, Vietnam"
"3.98","3.88","Mehran University of Engineering and Technology, Pakistan"
"3.5","3.95","Tribhuvan University, Nepal"
"3.39","3.75","King Mongkut's University of Technology, Thonburi, Thailand"
"3.44","4.0","Khon Kaen University, Thailand"
"4.0","3.69","University of Engineering & Technology, Lahore, Pakistan"
"4.0","3.06","Bangladesh Agricultural University, Mymensingh"
"3.0","3.54","Maulana Azad College of Technology, Bhopal, India"
"4.0","3.56","Regional Engineering College, Silchar Assam, India"
"3.05","3.17","Naresuan University, Thailand"
"3.0","3.68","Hanoi University of Technology, Vietnam"
"3.57","3.02","Royal University of Agriculture, Cambodia"
"3.94","3.19","Mehran University of Engineering and Technology, Pakistan"
"2.95","3.47","Mahidol University International College,Nakhornpathom,Thailand"
"3.0","3.38","Cantho University, Vietnam"
"3.45","3.31","Royal Thai Air Force Academy, Thailand"
"3.0","3.11","Hanoi University of Technology, Vietnam"
"3.0","3.55","Hanoi University of Technology, Vietnam"
"3.0","3.3","Hanoi Transport and Communication University, Vietnam"
"3.0","3.57","Hanoi University of Technology, Vietnam"
"3.0","3.39","Hanoi University of Technology, Vietnam"
"3.0","4.0","Cantho University, Vietnam"
"3.5","3.64","Hanoi University of Mining and Geology, Vietnam"
"3.55","3.69","Chulalongkorn University, Thailand"
"2.86","2.88","Maejoe University, Thailand"
"2.64","3.13","Srinakarinwirot University, Prasarnmitr,Thailand"
"3.12","3.75","Bogor Institute of Agriculture, (IPB) Indonesia"
"3.03","3.17","Sirindhorn Int'l Institute of Technology, Thailand"
"2.5","3.38","King Mongkut's Institute of Tech., Ladkrabang,Thailand"
"3.41","3.89","Ho Chi Minh City University of Technology, Vietnam"
"3.0","3.11","Hanoi University of Technology, Vietnam"
"3.8","3.22","American Intercontinental University,U.S.A."
"3.5","3.47","Yunnan University"
